,article_id,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,like_r1,like_r2,like_r3,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article,countQuestionMarks
0,9432,http://www.medicalnewstoday.com/articles/14131.php,Depression also a problem in patients with Parkinson's,Depression,Depression,,,,3,1,3,4,2,3,4,4,4,,,,,,,,,,"




While  Parkinson's disease  typically brings to mind symptoms such as tremors and slow movement, researchers have found that nearly half of all Parkinson's patients also suffer from  depression . While it might seem natural that someone who has a disease such as Parkinson's might become depressed, it's not so simple, says neurologist Irene Richard, M.D., of the University of Rochester Medical Center.    
""Many patients assume that's it's normal to feel this way. They might say, 'If you had Parkinson's disease, you'd feel this way too.' That's not true. If you treat the depression, they'll still have the other symptoms of the disease, but they feel better. It's one aspect of the disease that may be very treatable,"" says Richard.    

""People diagnosed with other serious diseases that may also be disabling, such as  rheumatoid arthritis , aren't nearly as likely to become depressed.""    

Richard and co-author William McDonald, M.D., a psychiatrist at Emory University, discussed the links between depression and movement disorders like Parkinson's disease in a review article in the August 24 issue of the journal Neurology. In an article titled, ""Can 'blue' genes affect mood and movement?"" the two noted that a team from Columbia University has linked a gene known to cause a movement disorder known as  dystonia  with a type of early-onset depression. Now they and other physicians around the country are exploring possible links between mood and movement in other disorders such as Parkinson's disease.    

Of Parkinson's patients who become depressed, about half have ""major"" depression that has a significant impact on their lives, while others have milder forms of depression that are still distressing. 
   
""There's a huge amount of suffering out there due to the depression that comes so frequently as part of Parkinson's disease,"" says Richard, who is an expert on the psychiatric aspects of the disease. Patients who have lost the pleasure they once took in activities or hobbies, or who are having difficulty sleeping or have a poor appetite, have common symptoms of depression. 
   
""The depression is part of the illness, not simply a reaction to the disease. We've found that if a physician brings up the topic, patients will be honest and will discuss their depression, but oftentimes they won't bring it up themselves. But depression is the number-one factor responsible for poor quality of life among these patients. We need to educate physicians to ask about this in their patients with Parkinson's disease,"" says Richard, an associate professor of Neurology and Psychiatry. 
   
Doctors estimate that about 1 million people in North America have Parkinson's disease, which targets a small group of cells in a part of the brain known as the substantia nigra that produce a chemical called dopamine. The loss of these brain cells results in abnormal signals to other parts of the brain, which Richard says appears to influence a person's mood. In addition, the disease also affects cells that produce brain chemicals such as  serotonin  and norepinephrine, which can play a role in depression.    

Richard and McDonald are leading a national research study to test the effectiveness of anti-depressants in treating some of the symptoms of Parkinson's disease. The study will evaluate common anti-depressant medications paroxetine (brand name Paxil) and venlafaxine (brand name Effexor) at treating the depression that patients experience. Richard says that until now, there hasn't been a large placebo-controlled study to see how well anti-depressant medications actually work in patients with Parkinson's. The disease wreaks havoc in the brain and may cause such medications to work differently than they do in healthy people.    

The study will include 228 patients at 15 sites around the nation. The four-year, $4 million study is being funded by the National Institute of Neurological Disorders and Stroke.    

Contact: Tom Rickey  
tom_rickey@urmc.rochester.edu  
585-275-7954  
 University of Rochester Medical Center ",1
1,17114,http://www.medicalnewstoday.com/articles/23226.php,Testing new manic depression drugs in slime mould: an alternative to the current serendipitous approach,Depression,Depression,,,,5,5,4,5,3,4,5,2,5,,,,,,,,,,"




Research by University College London (UCL) scientists could lead to the development  of more effective drugs for 

treating manic  depression   thanks to a new screening approach developed in a ?slime mould' - a microbe that lives in leaves 

and dung on forest floors. The breakthrough using slime mould (Dictyostelium) is the first possible alternative to the 

current - accidental - method of discovering manic depression drugs. The findings are published today in the May 2005 issue 

of Molecular Pharmacology.    
 
This research, carried out by a team led by Dr Robin Williams of the UCL Department of Biology, describes how the team tested 

variants of current drugs on the market in slime mould. It represents a first step towards the development of a scientific 

system for testing new treatments for manic depression. ?Manic depression drugs on the market today have always been found 

serendipitously,? says Dr Williams. ?Lithium was originally proposed as a treatment for  gout  in the late 1800s and by chance, 

it was later found that it helped balance moods and is now the most widely used manic depression drug on the market. Valproic 

acid, another drug commonly used to treat both  epilepsy  and manic depression, was also found accidentally, as it was 

initially used as a solvent for dissolving epilepsy drugs.    
 
?With these results, we can now identify new compounds which we hope will have the same effect as other manic depression 

treatments without unwanted side effects. We are testing this using a simple microbe - a slime mould - which is much faster, 

easier and more reliable to use than human nerve cells.?    
 
Current manic depression drugs like valproic acid have side-effects - an increased chance of liver damage, an increase in the 

chance of birth defects (embryonic malformations) if taken by mothers during the first trimester of pregnancy and may 

increase  HIV  infection. However, developing alternative manic depression drugs has so far proved impossible.    
The scientists hope that their screening system, which involves testing possible drugs in slime mould and looking for a 

chemical change, will provide an important scientific building block that could lead to a better and safer range of manic 

depression drugs. The team is currently developing variants of valproic acid that they expect will have fewer harmful 

side-effects.    
The origins of Dr Williams' work in this field were set out in Nature in 2002, when he found a protein which may be involved 

in causing manic depression, called prolyl oligopeptidase. This protein is present in both slime mould and the mammalian 

nervous system - and according to a number of teams the protein functions abnormally in manic depressed patients.  

The team went on to discover that the common way that all bipolar drugs work is by their ability to deplete the chemical 

inositol trisphosphate, found in the nervous system. This common effect caused by three very different drugs is the core of 

how manic depressive drugs work and the team has now used this discovery to develop a system for testing new manic depression 

drugs. Using this system, the team has found two possible alternatives to the current drugs on the market lithium, valproic 

acid and carbamazepine. The novel drugs are based on valproic acid. They still work to deplete the chemical inositol 

trisphosphate but the team has eliminated harmful side effects. Initial tests on slime mould were later confirmed in the 

animal nervous system and are now ready to be extended to comprehensive trials. The team is the first group of scientists 

working in this field to use a slime mould to design better manic depression drugs.    
 
Dr Williams said: ?Testing new drugs on slime mould is possible because cells function in a very similar way, be they from a 

human or from a slime mould. If a drug acts on a basic part of a cell's function by, for example, inhibiting an enzyme, it 

should inhibit that enzyme in both human and slime mould cells. Working in slime mould is faster, easier and more reliable 

than the more complicated mammalian nerve cell.    
 
?Although our system does not predict precisely how new drugs will impact on people - after all the brain is more complex 

than a single cell - we have made the first step in identifying new manic depression drugs and this has previously been 

impossible. This gives us some basis for believing that these new drugs could be useful and would warrant further testing. 

Testing the drug on slime mould initially acts as a reliable guide for scientists so for the first time we can screen drugs 

and identify better treatments for manic depression.?    
 
1.      The paper, ?Effects of valproic acid derivatives on inositol trisphosphate depletion, teratogenicity, GSK-3{beta} 

inhibition and viral replication - A screening approach for new  bipolar disorder  drugs based on the valproic acid core 

structure,? appears in the May issue of Molecular Pharmacology.    
2.      Dr Williams, based in UCL's Department of Biology and the Wolfson Institute for Biomedical Research, is funded by The 

Wellcome Trust. This project is carried out by a consortium of both UK and internationally based research scientists. 

   
3.      Contributors to the paper:    
a.       Eickholt BJ, Towers G, Ryves WJ, Eikel D, Adley K, Ylinen L, Chadborn N, Harwood A, Nau H, Williams RS.   
b.      BJE and NC: Molecular Neurobiology Group (E.B.J., N.H.C.), Medical Research Council Centre for Developmental Biology, 

King's College London, London SE1 1UL, United Kingdom.   
c.       GJT and LMJY: Wohl Virion Centre (G.J.T., L.M.J.Y.), Department of Immunology and Molecular Pathology, University 

College London, W1T 4JF, United Kingdom.    
d.      WJR and AJH: Medical Research Council Laboratory of Molecular Cell Biology  University College London, WC1E6BT, 

United Kingdom.   
e.       DE and HN: Institute for Food Toxicology and Chemical Analysis Centre of Systemic Neuroscience, School of Veterinary 

Medicine Hanover, 30169 Hanover, Germany.   
f.        KA and RSBW: Department of Biology and Wolfson Institute for Biomedical Research, University College London, WC1 

E6BT, United Kingdom.     
4.      To speak to the author, Robin Williams, please contact him directly on +44 20 7679 7268 or 

robin.williams@ucl.ac.uk   
5.      For further information please contact Alex Brew at UCL's press office on 020 7679 9726, 07747 565 056 (call this 

mobile number to speak to Robin Williams outside normal working hours) or a.brew@ucl.ac.uk   
 http://www.ucl.ac.uk ",11
2,388,http://www.medicalnewstoday.com/articles/4063.php,Dietary cocktail reduces cancer deaths,Cancer / Oncology,Cancer / Oncology,,,,1,5,5,4,5,4,2,1,3,,,,,,,,,,"




A dietary supplement of  vitamins  and minerals may help to slash the risk of  cancer , research has found.    
The supplement contained the same levels of  antioxidant  nutrients found in a diet rich in fruit and vegetables. 
   
Antioxidants help to mop up highly reactive molecules called free radicals which can cause damage to the body's tissues. 
   
Researchers say their work - the SuViMax study - provides compelling evidence of the importance of a healthy diet. 
   
Scientists in France gave the supplement to thousands of men and women over a seven year period, and found cancer rates were cut by almost a third. 
   
A total of 13,000 men and women aged 35 to 60 took part in the study. 
   
Half were given a daily supplement containing 6mg of  beta-carotene , 120mg of vitamin C, 90mg of vitamin E, 100 micrograms of  selenium , and 20 milligrams of zinc. 
   
A dummy capsule was given to the other participants. 
   
Over a seven-and-a-half year follow-up period, 103 men and 71 women died. 
   
Effect on men 
   
Cancer, which affected 562 volunteers, was the major cause of death while  heart disease  afflicted 271. 
   
In total, 56 men and 47 women died from various kinds of cancer while heart disease claimed the lives of 28 men and five women. 
   
Taking the supplement had no effect on heart disease, and did not influence cancer rates in women. 
   
But the scientists said a 31% reduction in the risk of all cancers was seen in men taking the antioxidants. 
   
And, overall, the death rate was 37% lower among men who took the supplement. 
   
The researchers, led by Dr Serge Hercberg, from the Scientific and Technical Institute for Nutrition and Diet in Paris, said further studies would be needed to confirm the findings. 
   
But they add: 'Even now, however, they completely support recommendations for following a healthy diet, particularly one rich in fruit and vegetables which are major dietary sources of antioxidant vitamins and minerals, for all ages in life and for both sexes.' 
   
The researchers said women may not have received the same benefits because their diet were better than those of men. 
   
They believe that both sexes may benefit if the research was carried out in the UK, where poor diet is more widespread. 
   
An Oxford University study a year ago which looked at vitamins C, E and beta-carotene concluded that they were a waste of money. 
   
This was followed by a Food Standards Agency report warning that overdosing on vitamins and minerals could be harmful. 
   
The French scientists agreed that vitamins and minerals were better obtained from fruit and vegetables. 
   
They wrote: 'There is reason to believe that the effect would be less than that of dietary sources of antioxidants, particularly fruit and vegetables, which provide other protective substances.' ",0
3,1650,http://www.medicalnewstoday.com/articles/5331.php,Super smoking addicts see cigarettes as their pal,Cancer / Oncology,Cancer / Oncology,,,,1,1,1,3,1,3,4,2,4,,,,,,,,,,"




Heavy smokers ? those who light up 25 times or more a day ? look to their cigarettes for comfort and companionship, according to a new study. 
   In-depth interviews with 51 heavy smokers in the journal Nicotine & Tobacco Research uncovered both anger and fear at the thought of quitting, say Beti Thompson, Ph.D., and colleagues of the Fred Hutchinson Cancer Research Center.
   
?Over 90 percent believed that even though smoking was dangerous, it was their ?friend.? The danger of losing a friend was more threatening to them than the dangers of smoking, and they worried about what would take the place of cigarettes emotionally,? Thompson says.
   
?Although heavy smokers know they need to stop smoking, they feel angry that this source of physical pleasure should be taken from them. They see themselves as victims who have been duped into smoking and continued smoking,? she adds.
   
Thompson and colleagues interviewed the smokers to find out what kinds of psychological traits might be linked with heavy smoking and the ability to quit. Most of the study participants were white men, ages 35 to 54, who had been smoking for nearly 25 years.
   
Nearly two-thirds of the participants said they were physically addicted to cigarettes. More than half said they smoked to relieve  stress  and anger or to keep people away. 
   
?For many of these participants, any threat to their world ? a scolding from their boss, an argument with a spouse ? was sufficient to drive them back to smoking as a way to cope and feel better,? Thompson says.
   
Many of the smokers had tried to quit on multiple occasions, but said social pressures, including friends and family who smoke, kept them from successfully quitting. The participants also feared withdrawal symptoms, weight gain and the loss of physical pleasure from giving up cigarettes.
   
The study was supported by the National Cancer Institute.

   
Health Behavior News Service: (202) 387-2829 or www.hbns.org.  
Interviews: Contact Beti Thompson at (206) 667-4673 or bthompso@fhcrc.org.  
Nicotine & Tobacco Research: Contact Gary E. Swan, Ph.D., at (650) 859-5322.
   






Center for the Advancement of Health   
Contact: Ira R. Allen  
Director of Public Affairs  
202.387.2829  
press@cfah.org ",12
4,1850,http://www.medicalnewstoday.com/articles/5533.php,How to reduce your chances of developing colon cancer,Cancer / Oncology,Cancer / Oncology,,,,3,3,1,3,4,5,1,4,3,,,,,,,,,,"




According to a reputable researcher, 70% of  colon cancers  are preventable if we changed our diets a bit.    
According to current research, there are several things you could do.  Researchers say that future research will tell us which of the inter-related strategies (in your diet plan) would be the best for your particular needs.    
One factor most experts agree about is  insulin resistance .  As the body becomes less responsive to  insulin , it produces more (insulin) to make up for this.    
High insulin levels along with related growth factors trigger changes in cell processes in ways that aid the development of  cancers .    
Inactive and overweight people (apple shaped people this big waists) are more likely to develop colon cancer.  Inactive and overweight people tend to be more insulin resistant, and hence have higher levels of insulin in their bodies.    
According to new studies, if you consume lots of saturated fats and refined  carbohydrates  (sugars and refined grains) you are increasing your risk of getting colon cancers (because of the effect you will be having on your insulin levels, among other things).    

The National Cancer Institute (USA) advises people to take more exercise.  Exercise, as well as having the obvious benefits we all know about, also stops your insulin levels from going up (keeps them down).    
The American Institute for Cancer Research (AICR) advises people to take an hour of moderate exercise each day.    
Consuming enough  calcium  is the latest strategy to lower colon cancer risk. A recent study looked at the recurrence of colon polyps, which are noncancerous growths that can turn into cancer. Polyp recurrence was 29 percent lower with a higher consumption of calcium and  vitamin D .    
Research presented at AICR?s most recent research conference suggested that calcium might be especially important for those with a high-fat diet. By binding fatty acids and bile acids ? both of which promote cancer ? in our digestive tract, calcium may protect the colon. ",3
5,2836,http://www.medicalnewstoday.com/articles/6577.php,Atkins diet for fat kids says cancer specialist Julian Peto,Cancer / Oncology,Cancer / Oncology,,,,2,4,1,1,5,5,1,1,3,,,,,,,,,,"




Cancer specialist, Julian Peto, says that fat children should go on the  atkins  diet so that they lose weight and do not get illnesses.  Prof. J Peto is from the Institute of Cancer Research (UK).    
He says that kids who cannot lose weight would benefit from a high-protein, low-carb diet.  He says this diet suppresses the appetite of these children and keeps them from getting fat again.    
Professor Peto warned that  obesity  is overtaking smoking as the UK?s number one preventable killer.  He says we need to tackle obesity early.    
He says that the current dietary advice is not working.  Children are just getting fatter and fatter.  He reckons children should have their weight checked at regular intervals at school.    
In the UK, as in the USA and many other countries, child obesity is soaring, he says.    
In 1998 9% of British four-year-olds were obese.  In 1988 the figure was half that amount.    
Being overweight increases a person?s risk of developing  diabetes ,  heart disease  and some  cancers .    
The Atkins diet involves eating lots of protein foods, while at the same time consuming much fewer  carbohydrates .  People who eat in this way tend to eat less because proteins with low carbs make you less hungry.    
It is all to do with  insulin .  If you eat loads of carbs in one session your insulin levels rise too high.  High insulin levels tells the body and brain to do lots of things, some of which are not ideal.  High insulin levels tells the brain ?do not use stored fat?.  This means that a couple of hours after your high carb meal your body has two choices, either get that low sugar feeling ( tiredness ) or eat some more food ? and the carb binge cycle perpetuates.    
Professor Peto does not think high salt and fat are ideal.  But he recognises that the Atkins diet gives obese people a better chance of living a healthier life than they were having before than anything else currently available.    
A percentage of the population, quite a high percentage, cannot break the chain of high carb bingeing.  The Atkins diet breaks this chain permanently.  It is a question of balancing the good with the bad.     What is better, to be super-fat all your life, with one diet after another, or eat high-proteins and low carbs and stay slim (I refer here to people who have a serious weight problem, persistent weight problem).    
It is also possible to be on a high-protein, low-carb diet and not eat loads of meat.  The important thing to remember is that protein can be obtained from many sources.  Soy products abound in many shops.  Try to eat good quality fats, such as olive oil, almonds ? mono-unsaturated fats.  Try not to eat saturated fats which come from animals and egg yolk.  If you eat meat, have it very lean and add some more olive oil to your salads or grab a handful of almonds.    
There are fast carbs and slow carbs.  Go for the slow ones.  Slow carbs release the carbohydrates slowly into your system, this is better for regulating your insulin levels, and hence controlling your hunger.  If you want to really get into it, get a book which lists the GI of each good.  GI stands for Glycemic Index.  The higher the number, the faster the carb.    
With very obese people keeping to very low GI foods helps a lot.  For people who are interested in their general health, keeping and eye on the amount of high GI foods helps you stay trim. ",6
6,7273,http://www.medicalnewstoday.com/articles/11534.php,Mothers turn fearless when peptide level drops,Depression,Depression,,,,5,5,3,4,4,4,1,2,3,,,,,,,,,,"




Everyone knows not to get between a mother and her offspring. What makes these females unafraid when it comes to protecting their young may be low levels of a peptide, or small piece of protein, released in the brain that normally activates fear and  anxiety , according to new research published in the August issue of Behavioral Neuroscience.    

\""We see this fierce protection of offspring is so many animals,\"" says Stephen Gammie, a University of Wisconsin-Madison assistant professor of zoology and lead author of the recent paper. \""There are stories of cats rescuing their kittens from burning buildings and birds swooping down at people when their chicks are on the ground.\""    

In terms of biology, it makes sense that mothers would lay down their own lives to protect their offspring, especially if it means the parents\' genes will be passed down to the next generation, says Gammie. But he adds that despite all the observations and the theories explaining why mothers display this behavior - commonly known as maternal aggression - very little research has investigated the biological mechanisms that turn on this trait in new mothers.    

\""We\'ve known for a long time that fear and anxiety decrease with lactation,\"" explains Gammie. \""Maybe it\'s this decrease that allows mothers to attack during a situation that normally would evoke a fear response.\""    

Testing this hypothesis, the Wisconsin professor and his colleagues studied the link between maternal aggression in mice and levels of corticotropin-releasing hormone (CRH), a peptide that acts on the brain to control behavior.    

About six days after a group of mice gave birth, the new mothers received injections containing either one of three doses of CRH or a saline solution with no amount of the peptide. Following each injection, which was given once a day for four consecutive days, the researchers returned the mother mice to their pups. Twenty-eight minutes later, the researchers removed the pups and introduced a male intruder.    

Under normal conditions, female rodents will fiercely attack the males, says Gammie, noting that the males sometimes eat pups and that \""the best defense for the mom is the offense.\""    

For the study, only the mice that received either no dose or a low dose of the peptide displayed the expected behavior. As the levels of CRH increased, the number of attacks and the duration of them dramatically decreased.    

The results show, for example, that while the mice with the lowest levels of CRH attacked more than 20 times for the duration of about 45 seconds, the mice with moderate levels of the peptide attacked about six times over about eight seconds. Mice with the highest levels of CRH didn\'t attack at all.    

\""When we put the male in the cage, some moms would just sit there. They weren\'t protective at all. If anything they were skittish. They showed a fear response,\"" says Gammie.    

The researchers note that altering the levels of the peptide appeared to affect only maternal aggression; normal maternal behaviors, such as nursing, were observed in all mothers both before and after the encounters with male mice.    

Based on the results, Gammie says, \""Low CRH levels appear to be a necessary part of maternal aggression. If you don\'t keep them low, you won\'t see this fiercely protective behavior.\"" 
   
He adds that this finding - some of the first evidence suggesting a biological mechanism that enables parents, regardless of the potential danger, to defend their offspring - may also begin to explain why mothers occasionally neglect or harm their offspring. 
   
\""Postpartum depression in some individuals has been linked to higher levels of CRH release and an overly active  stress  response,\"" explains Gammie. \""If CRH needs to be low to see maternal protection of offspring, as our work suggests, then it explains why moms with high  postpartum depression  and high CRH not only may neglect, but also may abuse, their children.\"" 
   
Written by Emily Carlson 608-262-9772, emilycarlson@wisc.edu
   
Contact: Stephen Gammie  
scgammie@wisc.edu  
608-262-3457  
University of Wisconsin-Madison ",0
7,1000,http://www.medicalnewstoday.com/articles/4677.php,How bullied children are affected,Depression,Depression,,,,2,1,1,3,2,5,2,4,4,,,,,,,,,,"




They're more likely to exhibit  depression  and to be antisocial 
   
Young students plagued by bullying may be at greater risk for developing depression and antisocial behavior, says a study in the current issue of Child Development.
   
Researchers observed the playground interaction of 266 elementary school students from the start of kindergarten to the end of the first grade. The researchers counted all instances of aggression and victimization.
   
'Substantial rates of victimization were observed. On average, children were targets of peer physical or verbal harassment about once every three to six minutes,' lead researcher James Snyder, of Wichita State University, says in a prepared statement.
   
He notes many kindergarten students are verbally and physically abused by their peers. But by the time students reach first grade, an increasing amount of that verbal and physical bullying is focused on a smaller group of perpetual victims.
   
'Some children experienced harassment with great regularity. Other children appeared to respond effectively to aggression by peers such that harassment experiences became increasingly intermittent,' Snyder says.
   
He says more research needs to be done to better understand how some children learn to effectively deal with or avoid repeated bullying while others can't do that.
   
The study found boys who suffered increasing harassment were more likely to demonstrate antisocial and depressive behaviors. In turn, boys who were antisocial or depressed seemed to attract more bullying.
   
Girls who were bullied in kindergarten were more likely to engage in antisocial behavior at home as they grew older and to act increasingly depressed at school if the bullying continued.
   
Antisocial behavior by the boys seemed to offer them some short-term relief from bullying but increased the likelihood of bullying over the long term. On the other hand, antisocial behavior by girls made them more likely to be bullied over short-term and long-term.
   
Information about students' antisocial behaviors -- arguing, bullying and tantrams -- and how often the students seemed sad, lonely or withdrawn was provided by teachers and parents. ",0
8,268304,http://www.medicalnewstoday.com/articles/310375.php,Is an insulin pump the best therapy for everyone with type 1 diabetes?,Diabetes,Diabetes,,,,1,2,4,3,5,5,3,5,4,,,,,,,,,,"Insulin pump therapy contributes to better blood glucose control in type 1 diabetes and, as pump technology continues to improve and become part of sensor-controlled feedback and artificial pancreas systems, essentially all patients would benefit from their capabilities according to a Commentary published in Diabetes Technology & Therapeutics. (DTT), a peer-reviewed journal from Mary Ann Liebert, Inc., publishers. The article is available free on the DTT website until June 17, 2016.

In the Commentary ""Is Pump Therapy for All with Type 1 Diabetes?"" Darrell M. Wilson, MD, Stanford University, CA, compares and contrasts the advantages and limitations of diabetes management strategies including self-monitoring of blood glucose and multiple daily injections, continuous subcutaneous insulin infusion (insulin pumps), and fully closed-loop artificial pancreas systems that combine pump-based insulin delivery with integrated continuous glucose monitoring. The author provides his perspectives on the large knowledge base of published studies that have assessed the safety and effectiveness of different diabetes therapeutic approaches on glycemic control and hypoglycemic events.

""Insulin pump therapy has come farther along in the past 3 decades where pumps are much smaller and can be remotely operated by smartphones,"" says DTT Editor-in-Chief Satish Garg, MD, Professor of Medicine and Pediatrics at the University of Colorado Denver. ""Darrell highlights the importance of pump therapy in children and young adults and pathways leading on to closed-loop systems.""

Is Pump Therapy for All with Type 1 Diabetes? Wilson Darrell M.
Diabetes Technology & Therapeutics.
DOI:10.1089/dia.2016.0108.
Published online May 9, 2016. 

",2
9,1162,http://www.medicalnewstoday.com/articles/4841.php,Visit Dentist Before Radiation Therapy to Prevent Oral Problems,Cancer / Oncology,Cancer / Oncology,,,,2,1,2,4,3,3,4,4,2,,,,,,,,,,"




CHICAGO (USA) - More than one million Americans will be diagnosed with  cancer  each year, and about 40 percent will develop serious mouth problems as the result of head and neck  radiation therapy  and  chemotherapy .    Severe oral complications, such as the patient's inability to eat and drink, often force doctors to delay or stop the radiation treatment. 
   
To give patients their best chance to fight cancer, the dentist must be added to the cancer treatment team and the patient must visit the dentist before beginning radiation therapy, according to a new report in the November/December 2003 issue of General Dentistry , the Academy of General Dentistry's (AGD) clinical, peer-reviewed journal. 
   
The goal of head and neck radiation is to kill cancer cells while limiting damage to adjacent healthy tissue and structures like salivary glands, jawbones and tissues lining the mouth. However, damage to healthy tissue is unavoidable. 
   
During treatment, the dentist can work with the patient to monitor any changes in their mouth that may occur, such as  dry mouth , increased cavities and painful mouth sores. 
   
?The less oral problems a patient experiences, the more likely the patient will stay on the treatment program,? says Bruce Burton, DMD, MAGD, ABGD, AGD spokesperson. 
   
?Schedule a visit with the dentist one month before starting radiation,? advises Jody S. Harrison, DDS, lead report author. ?Doing so may help prevent serious complications.? 

   Oral complications from neck and head radiation    

- Dry mouth    
- Cavities    
- Oral yeast infections    
- Taste loss    
-  Inflammation  and ulceration of mouth lining    
- Non-healing wounds    
- Limited mouth opening    
- Nutritional deficiencies   
- Pretreatment strategies for cancer patients    

Contact a general dentist for examination before therapy begins    
Have oral diseases treated early    
Extraction of hopeless and questionable teeth should be accomplished three weeks prior to treatment    



CONTACT: Susan Urbanczyk, public relations manager, at 312/440-4308 or susanu@agd.org or Jennifer Starkey, public relations coordinator, at 312/440-4341 or JenniferS@agd.org.
   
The Academy of General Dentistry is a non-profit organization of more than 37,000 general dentists dedicated to staying up-to-date in the profession through continuing education. A general dentist is the primary care provider for patients of all ages and is responsible for the diagnosis, treatment, management and overall coordination of services related to patient's oral health needs. ",6
